minute_of_day,baseline,delay_p3_peak,redistribute,v2g
285,90176.99064126365,204276.92537577942,188774.13400900012,90176.99064126365
290,88120.64399017536,204373.88902316176,188817.95690307632,88120.64399017536
295,86105.03957578872,204583.79539944875,188634.41559228132,86105.03957578872
300,84439.92815668398,204574.57775995223,84439.92815668398,84439.92815668398
305,82369.5460320763,204359.6231239196,82369.5460320763,82369.5460320763
310,80668.4493440326,204362.820055566,80668.4493440326,80668.4493440326
315,78651.36465742302,204256.34533062694,78651.36465742302,78651.36465742302
320,77398.53073309084,204221.64169199258,77398.53073309084,77398.53073309084
325,76207.76832835407,204540.50052020742,76207.76832835407,76207.76832835407
330,74671.45937062462,204555.42260373718,74671.45937062462,74671.45937062462
335,73388.3261290763,204536.3177672012,73388.3261290763,73388.3261290763
340,71697.58544719189,204361.2080131908,71697.58544719189,71697.58544719189
345,70282.02653315401,204369.1234714421,70282.02653315401,70282.02653315401
350,69074.1299953663,204358.08952823025,69074.1299953663,69074.1299953663
355,67745.58829187471,204356.93270766336,67745.58829187471,67745.58829187471
360,66391.28686488487,204365.31001916944,66391.28686488487,66391.28686488487
365,65360.495457629724,204366.72516608096,65360.495457629724,65360.495457629724
370,64720.19106632287,204361.67142373644,64720.19106632287,64720.19106632287
375,63917.36662149364,204362.52388440282,63917.36662149364,63917.36662149364
380,63941.355733186225,204366.18964329056,63941.355733186225,63941.355733186225
385,63657.639847965445,204372.92173332203,63657.639847965445,63657.639847965445
390,62638.31472828271,204359.5420270885,62638.31472828271,62638.31472828271
395,62515.871492578044,204366.27995518743,62515.871492578044,62515.871492578044
400,62414.98032463587,204374.15493093486,62414.98032463587,62414.98032463587
405,62108.080414257405,204362.63598938,62108.080414257405,62108.080414257405
410,62024.79427828588,204370.17644335498,62024.79427828588,62024.79427828588
415,61548.30746369188,204361.06296957325,61548.30746369188,61548.30746369188
420,61118.89749776238,35186.286882788416,61118.89749776238,61118.89749776238
425,61230.278635966155,34677.58218471768,61230.278635966155,61230.278635966155
430,61649.047591995026,34079.98769043238,61649.047591995026,61649.047591995026
435,61774.672645671424,33845.96668894248,61774.672645671424,61774.672645671424
440,64740.4067114473,33453.93038001056,64740.4067114473,64740.4067114473
445,65645.3249225615,32736.92263888306,65645.3249225615,65645.3249225615
450,66108.44029603677,32749.06279266375,66108.44029603677,66108.44029603677
455,69056.79330615104,32643.73311038192,69056.79330615104,69056.79330615104
460,70865.11492760884,32259.335292487183,70865.11492760884,70865.11492760884
465,70621.44374092069,32588.05282591172,70621.44374092069,70621.44374092069
470,74321.53178030773,32945.49843126984,74321.53178030773,74321.53178030773
475,78175.06933770761,33140.007341786484,78175.06933770761,78175.06933770761
480,77418.34685855963,33100.67447155617,77418.34685855963,77418.34685855963
485,83165.71745084593,32945.087830452314,83165.71745084593,83165.71745084593
490,86473.23790440106,32938.38067198256,86473.23790440106,86473.23790440106
495,87996.70468406436,33979.93092921036,87996.70468406436,87996.70468406436
500,91082.46199258648,34922.8264086677,91082.46199258648,91082.46199258648
505,92749.05929957847,35659.804475716126,92749.05929957847,92749.05929957847
510,93634.82771121046,36978.917997508535,93634.82771121046,93634.82771121046
515,97994.39648652164,37539.266665504765,97994.39648652164,97994.39648652164
520,100956.67725767051,38392.35756992206,100956.67725767051,100956.67725767051
525,101994.80498636929,39871.72927615903,101994.80498636929,101994.80498636929
530,106921.2874260383,40707.53780025385,106921.2874260383,106921.2874260383
535,107542.45582887196,41499.73560556736,101832.96156632838,107542.45582887196
540,108743.11093430579,43352.61911966851,108743.11093430579,108743.11093430579
545,113683.52240249295,44152.21640547335,113683.52240249295,113683.52240249295
550,116324.01448756026,45826.85925606645,116324.01448756026,116324.01448756026
555,121894.80704162014,47637.63601951745,115290.65571612306,121894.80704162014
560,128036.69759424389,48941.30279136441,128036.69759424389,128036.69759424389
565,131105.25014498198,51462.46101020666,131071.38811822688,131105.25014498198
570,137426.5578284681,52825.46692017216,135875.7516188873,137426.5578284681
575,142613.26139139183,54409.806228724905,142404.55031443504,142613.26139139183
580,145180.5493843633,56651.412028191975,139430.65835871827,145180.5493843633
585,152532.52934947272,59081.212463725475,140535.67555605285,152532.52934947272
590,158459.01599843442,60762.50002550187,158148.97521651592,158459.01599843442
595,160397.70568259282,63446.70567113362,111679.82771776347,160397.70568259282
600,166447.82703940204,204560.55018794475,157698.33271443244,166447.82703940204
605,172375.82451571824,204355.23125529644,171085.6469366065,172375.82451571824
610,173155.33147805417,204368.95234085736,158046.60325090273,173155.33147805417
615,181254.9334136994,204372.82643302626,180533.88573327265,181254.9334136994
620,186333.2970490073,204551.48285491424,127792.05639577005,186333.2970490073
625,187790.74800706573,204358.61577394552,132664.68417600146,187790.74800706573
630,191241.98439252138,204555.97171147374,174494.91832186835,191241.98439252138
635,196627.02473103083,204567.70961556712,116177.37971050177,196627.02473103083
640,194601.5926852077,204331.38157209154,184074.0573772418,194601.5926852077
645,201861.91938691938,204211.78223754256,100645.74734058672,201861.91938691938
650,203030.08093829348,204550.9242041611,201611.62383132082,203030.08093829348
655,200208.60747762586,204583.96877849306,199756.2309448522,200208.60747762586
660,206762.89630592766,206762.89630592766,200691.0133993976,206762.89630592766
665,204949.62478614494,204949.62478614494,197625.47013584798,204949.62478614494
670,201763.35211984642,204552.90437680518,120541.4760721776,201763.35211984642
675,207119.36581550102,207119.36581550102,201311.9607314034,183889.31867070505
680,205714.7636819299,205714.7636819299,191840.04423974748,205714.7636819299
685,202351.73527761106,204357.3819502293,200720.8358642135,202351.73527761106
690,207018.57988251024,207018.57988251024,204211.9272832366,207018.57988251024
695,206617.18797622257,206617.18797622257,204609.88040564084,206617.18797622257
700,202602.60980482597,204375.28493636436,178939.64114527788,202602.60980482597
705,207149.79606843536,207149.79606843536,198689.0306849101,184359.9400794062
710,205644.4414856188,205644.4414856188,120941.78531680659,205644.4414856188
715,200816.64039601907,204349.25544192817,200816.64039601907,200816.64039601907
720,204684.0477457748,204684.0477457748,186331.4791058016,204684.0477457748
725,202867.49422362255,204487.22601042932,202867.49422362255,202867.49422362255
730,198405.86673596807,204374.98727681095,175458.244195503,198405.86673596807
735,204422.03183126266,204422.03183126266,152368.5765043858,204422.03183126266
740,201258.52032707605,204442.8788950346,201258.52032707605,201258.52032707605
745,197781.19513583154,204246.04712692654,188991.41165091476,197781.19513583154
750,200494.45357260012,204336.45559576593,189078.92363766654,200494.45357260012
755,197723.11609875827,204236.70401785863,195064.17563250315,197723.11609875827
760,193493.98430270047,204358.82475424124,147829.60038330292,193493.98430270047
765,195214.75151238448,204375.93249128104,195214.75151238448,195214.75151238448
770,194753.5271814598,204361.85248000282,194753.5271814598,194753.5271814598
775,190283.1344351188,204364.27879772818,190283.1344351188,190283.1344351188
780,194165.570329963,204359.59955083835,194165.570329963,194165.570329963
785,192808.0591984146,204243.84512545326,146263.3449960186,192808.0591984146
790,187093.00986050908,204229.67094862033,187093.00986050908,187093.00986050908
795,193741.30518577746,204362.39936819422,190987.8262178977,193741.30518577746
800,192487.48014596847,204215.4928627386,191681.45686132152,192487.48014596847
805,186841.8141102567,204540.9523033679,186841.8141102567,186841.8141102567
810,190323.32835803428,204365.13409677887,146680.47504463972,190323.32835803428
815,189095.45612496271,204357.4340597462,189095.45612496271,189095.45612496271
820,185005.401434726,204558.22400634093,185005.401434726,185005.401434726
825,188823.2813708417,204340.72806862023,188823.2813708417,188823.2813708417
830,186852.4508624715,204575.73104392772,186852.4508624715,186852.4508624715
835,181110.5091404701,204359.17220350963,181110.5091404701,181110.5091404701
840,186572.92280284598,204201.66120985552,186572.92280284598,186572.92280284598
845,185724.9630447039,204570.02411513872,185724.9630447039,185724.9630447039
850,182828.50519993439,204371.97711261094,182828.50519993439,182828.50519993439
855,184196.5498232321,204554.1258264323,184196.5498232321,184196.5498232321
860,182439.56100574456,204350.4393893115,182439.56100574456,182439.56100574456
865,178532.71444040752,204536.92974552864,178532.71444040752,178532.71444040752
870,182590.3454858584,204365.49084733654,182590.3454858584,182590.3454858584
875,180343.3500908941,204358.6437968287,180343.3500908941,180343.3500908941
880,176866.3087909396,204556.43592039266,176866.3087909396,176866.3087909396
885,180385.23723091482,204357.01143722615,180385.23723091482,180385.23723091482
890,178930.8086193671,204220.19530821263,178930.8086193671,178930.8086193671
895,175277.9887518776,204369.5943350263,175277.9887518776,175277.9887518776
900,177729.91640372755,204568.3690562036,177729.91640372755,177729.91640372755
905,175144.70467588125,204352.17074423376,175144.70467588125,175144.70467588125
910,172111.90885117042,204528.35241352068,172111.90885117042,172111.90885117042
