,Private car_P1_workday,Private car_P2_workday,Private car_P3_workday,Taxi_P1_workday,Taxi_P2_workday,Taxi_P3_workday,Official car_P1_workday,Official car_P2_workday,Official car_P3_workday,Rental car_P1_workday,Rental car_P2_workday,Rental car_P3_workday,Bus_P1_workday,Bus_P2_workday,Bus_P3_workday,SPV_P1_workday,SPV_P2_workday,SPV_P3_workday,Private car_P1_weekend & holiday,Private car_P2_weekend & holiday,Private car_P3_weekend & holiday,Taxi_P1_weekend & holiday,Taxi_P2_weekend & holiday,Taxi_P3_weekend & holiday,Official car_P1_weekend & holiday,Official car_P2_weekend & holiday,Official car_P3_weekend & holiday,Rental car_P1_weekend & holiday,Rental car_P2_weekend & holiday,Rental car_P3_weekend & holiday,Bus_P1_weekend & holiday,Bus_P2_weekend & holiday,Bus_P3_weekend & holiday,SPV_P1_weekend & holiday,SPV_P2_weekend & holiday,SPV_P3_weekend & holiday
30,2985.541827837429,8557.931997280566,1886.9591671053981,192.35420507057145,2016.0243343446743,577.9723093907038,460.4277902840644,2463.199057443406,3077.11503622568,132.23662769134071,596.7996189199118,2878.365316350397,8537.053404802225,5932.646595270683,3878.855094913732,396.9004451614664,3512.570146761759,550.729422734723,3361.9665852911467,9846.676121945835,2743.582332556943,209.81078261882067,2140.833320119418,767.9907776862383,532.1423640277106,2922.7820672970265,4163.20479896975,171.46202778071165,782.3605181574821,4084.1939229207737,10255.952888041735,6505.809915363789,4568.107016921043,488.3372228629654,3876.223854745676,838.9334778189659
31,2954.9218664936484,8357.872544148653,1837.02401082686,190.40270893004808,1979.1883595430038,561.5266472606947,456.6433734161363,2417.414155488495,3020.621391020038,131.9342531279068,588.8103655940159,2815.6125733518693,8390.098259269791,5785.517723266261,3818.610904350877,391.1976609212206,3415.313870584604,560.7271073435293,3320.7800293790497,9635.925627250566,2634.2563930208485,208.40026176720858,2109.4843120360747,739.0031801015139,529.8537148672957,2895.3102665822953,4083.3263442050666,170.76636501401663,777.6792840957642,3999.1982123988373,10101.086188346148,6463.7343942523,4235.056699156761,487.86425698173696,3738.4127770891855,849.415766954422
32,2920.238276769107,8154.832840622374,1777.5127144606597,188.3212961595167,1940.7988570176742,537.3965309822198,453.29793473798003,2369.533276359974,2937.0512878768373,130.96392279202965,586.4895923501118,2728.860661916706,8178.288625277855,5669.318524456724,3755.8871831067586,385.07770132840136,3339.2900483557673,535.425472555016,3282.77560166043,9442.609124709263,2581.389059146742,206.27798325568438,2081.8440249944106,722.8827366381884,525.493535741033,2849.608699319884,4038.9545476865023,169.56716476380825,762.4326498806477,3813.528088295211,9959.137435942888,6285.112649142742,4268.626537680626,480.18614921343976,3590.5687829088242,846.9659693241119
33,2885.0122102976657,7968.528541690472,1707.2045800710139,186.7072336050597,1902.6711172197354,520.1496049779834,446.4952828955449,2322.1114804715935,2841.807025495804,129.94327478669584,575.7501165796817,2620.8711719278585,7944.663013723362,5619.560951307303,3918.0954319387674,379.4702031161072,3222.7760615360307,515.7079977861558,3244.2256223995223,9238.990760866895,2449.889501850307,203.3141164854169,2043.4704467142,679.5320469886065,518.6944326598067,2788.731022907421,3918.9444345536176,168.55811646580696,753.6385837346315,3655.569655759881,9572.664741963148,6223.319654405117,4369.423014998436,468.59095526111776,3403.840846766141,768.4804182052612
34,2849.174402741221,7778.962386663212,1656.5837776811607,185.113460034132,1872.9546106952157,518.2997109528743,439.99825655555884,2274.1842099074274,2826.9414852875652,130.54222308658063,571.403434812115,2544.851424787126,7795.589484488563,5530.507547452933,3971.652494434606,374.31370331304095,3094.8584354513278,521.0440616335532,3205.3662121254933,9058.150515739217,2382.849744250874,201.04891503602266,2016.9490622365847,665.4030417948961,516.0751302976031,2723.3260463457555,3889.3459111752454,163.27743212878704,749.0500165969133,3573.8898692963025,9318.17178556323,6283.1019968390465,4554.7876714468,462.052018318302,3307.505680325734,874.3044856786728
35,2814.003068428049,7584.041277375072,1613.0119840165753,183.50615960088643,1831.8727599497545,510.8669291698571,433.9378815532613,2237.2847889687187,2764.3291442574878,128.47723228975454,567.9027294940977,2479.0579582313244,7601.586261585948,5359.030103974609,4044.9954801079903,368.4572054075698,2951.228877524962,542.2862540102968,3171.928326833619,8850.385501132378,2282.6040736779573,197.92086780816317,1973.6501425886527,687.795102789998,507.61661617344805,2691.753691820428,3801.806299716467,161.90086595714092,736.880215421319,3404.8302035567663,9018.071527272463,6075.127833425999,4682.669732451439,452.87620240820104,3211.3288110809312,880.8462017774582
36,2777.9543110833065,7391.611434146197,1543.173185385254,181.94365922700274,1795.4941500106995,489.6387383576595,429.9084595030887,2195.0915349801494,2659.840043533932,127.31183039210737,556.5383912261644,2364.352652473477,7364.998554803346,5169.639747000441,3986.0661178976297,364.17332333689836,2816.8685298421824,554.7765371093847,3130.733961796014,8635.957639970848,2158.6819195295375,194.60373777896166,1935.3959573293105,675.8841547220945,503.0157005924601,2638.215653507039,3657.87902526084,160.8725976496935,728.8168038576841,3229.885340952625,8621.1237334311,5917.816862642765,4718.16973054409,444.6622860766714,3080.1518710868345,864.1904627084732
37,2745.2470138114545,7207.671996149036,1500.9637297542579,180.4845493679697,1761.4519605318253,464.822838638768,427.05102914255474,2151.6698409886185,2630.934795999166,126.04539564404298,553.1141959473898,2336.364940231813,7062.908417083238,5099.681618851581,3907.386721008203,358.5201988581681,2731.6100609812524,553.7970199096083,3091.0424475796503,8457.765932121345,2097.2104061737655,193.1210097745061,1902.2937039518729,688.9043118208647,498.1713819939514,2608.7747907023877,3585.0066516799075,158.99914748966694,717.6309128850698,3107.729131990423,8350.995338827372,5801.120048701763,4533.679438948631,437.20753559840375,3000.23575557041,951.586445291837
38,2707.271347180735,7020.276558001723,1453.7284130333821,177.97148629481143,1718.9132607315075,456.48865832704485,421.88646000307415,2112.07221182622,2560.580835824663,124.35782042839988,545.061823806072,2256.6968510190195,6764.15914144223,5061.376340030157,3754.486393325708,352.4625465635323,2659.8802074942378,607.2800698224945,3048.0467030725117,8277.473225120175,2057.5211015040677,188.58594468981028,1874.0554971480742,679.6343534439802,493.1166518042976,2569.3062387090176,3496.5223407549006,159.62269999086857,710.1909479945898,2992.7653824326894,7989.734366565943,5704.8616126179695,4233.790953993797,430.2565773166483,2875.145631797789,943.7565447886784
39,2673.1861916011067,6835.6736697092865,1392.8508869254226,175.4328447011384,1678.4141607074575,436.9237748348351,416.9895091287093,2072.1787015333434,2474.551606536995,123.75528228706257,540.941635656533,2150.772852890735,6485.94607097918,4881.49349525695,3610.4819471226497,345.31289577847633,2559.1076689153665,594.2864274273015,3014.828920971228,8064.170975561906,1985.3063515836996,186.00287417322397,1839.7499831700698,651.4254923313856,488.51710268363297,2527.136033711955,3348.2984710139376,162.12366354465485,700.5389792174101,2879.900878445556,7702.661451548338,5556.641524533431,4134.0427523851395,423.9093622006243,2735.1544540322607,933.1810209353764
