,Private car_workday_driving,Private car_workday_charging,Private car_workday_parked,Private car_weekend & holiday_driving,Private car_weekend & holiday_charging,Private car_weekend & holiday_parked,Taxi_workday_driving,Taxi_workday_charging,Taxi_workday_parked,Taxi_weekend & holiday_driving,Taxi_weekend & holiday_charging,Taxi_weekend & holiday_parked,Official car_workday_driving,Official car_workday_charging,Official car_workday_parked,Official car_weekend & holiday_driving,Official car_weekend & holiday_charging,Official car_weekend & holiday_parked,Rental car_workday_driving,Rental car_workday_charging,Rental car_workday_parked,Rental car_weekend & holiday_driving,Rental car_weekend & holiday_charging,Rental car_weekend & holiday_parked,Bus_workday_driving,Bus_workday_charging,Bus_workday_parked,Bus_weekend & holiday_driving,Bus_weekend & holiday_charging,Bus_weekend & holiday_parked,SPV_workday_driving,SPV_workday_charging,SPV_workday_parked,SPV_weekend & holiday_driving,SPV_weekend & holiday_charging,SPV_weekend & holiday_parked
20,0.07413315499422592,0.058561373503486384,0.8673054715022878,0.0868759044862518,0.07129361633703167,0.8418304791767165,0.08599582784365394,0.13641853315766359,0.7775856389986825,0.07404891304347826,0.17021437198067632,0.7557367149758454,0.08839762388149486,0.0733288217159185,0.8382735544025867,0.10851943755169562,0.09809760132340778,0.7933829611248966,0.1786840568425151,0.06844461748102004,0.7528713256764649,0.22767665952890792,0.09416488222698073,0.6781584582441114,0.08919661733615222,0.030184989429175472,0.8806183932346723,0.0832703488372093,0.03241279069767442,0.8843168604651163,0.22167068500921855,0.036354181439984874,0.7419751335507965,0.26878575143005723,0.0421541861674467,0.6890600624024961
21,0.07902468973380695,0.05525771462819219,0.8657175956380009,0.08863462775365814,0.06738422575976845,0.8439811464865734,0.10512736056214317,0.12845849802371542,0.7664141414141414,0.08454106280193237,0.16394927536231885,0.7515096618357487,0.09438303631852019,0.0702082863373186,0.8354086773441612,0.11007030603804797,0.09387923904052936,0.7960504549214226,0.18384270975277398,0.06577769125948997,0.7503795989877361,0.2305139186295503,0.08811563169164882,0.6813704496788009,0.1352536997885835,0.030882663847780125,0.8338636363636364,0.12640988372093023,0.031758720930232555,0.8418313953488372,0.2616886493641564,0.036980570131896186,0.7013307805039475,0.3138000520020801,0.04338923556942278,0.6428107124284972
22,0.08732220906605855,0.05199242789691415,0.8606853630370273,0.09146365975237176,0.06365070750924585,0.8448856327383824,0.12678414580588496,0.12165129556433905,0.751564558629776,0.09601449275362318,0.15519323671497584,0.748792270531401,0.10206030528611175,0.06747123843898038,0.8304684562749078,0.11373035566583954,0.08984698097601324,0.7964226633581473,0.1889818960482772,0.0634611641035624,0.7475569398481604,0.23265524625267667,0.08527837259100643,0.6820663811563169,0.19451902748414376,0.03146934460887949,0.7740116279069768,0.17636627906976743,0.030276162790697673,0.7933575581395349,0.3029475724483525,0.03865881908003593,0.6583936084716115,0.35192407696307854,0.04472178887155486,0.6033541341653665
23,0.1023805347249631,0.048813021678434126,0.8488064435966027,0.09524240231548481,0.060103111432706226,0.8446544862518091,0.148276240667545,0.11467940272288098,0.737044356609574,0.1076388888888889,0.14696557971014493,0.7453955314009661,0.11355741033160388,0.06441085795924506,0.822031731709151,0.11877584780810588,0.08612489660876757,0.7950992555831266,0.1970994744014016,0.061144636947634806,0.7417558886509635,0.23592077087794433,0.08281584582441114,0.6812633832976445,0.27066067653276954,0.032045454545454544,0.697293868921776,0.23332848837209302,0.02995639534883721,0.7367151162790697,0.3261712286673285,0.03936793835389779,0.6344608329787736,0.37565002600104,0.045761830473218926,0.5785881435257411
24,0.12739734537853206,0.04606301802394421,0.8265396365975237,0.10039294902717479,0.05666606367583213,0.8429409872969931,0.17536780851998246,0.10520970575318402,0.7194224857268335,0.12107487922705314,0.14032306763285024,0.7386020531400966,0.12916008722460334,0.06133543875479359,0.809504474020603,0.12597187758478082,0.08273366418527708,0.7912944582299422,0.20918824216468757,0.05828304457854779,0.7325287132567646,0.23998929336188438,0.07896145610278373,0.6810492505353319,0.35101479915433403,0.0345877378435518,0.6143974630021141,0.28857558139534883,0.03247093023255814,0.6789534883720931,0.3401526970169716,0.041176192502245544,0.6186711104807828,0.390763130525221,0.04810192407696308,0.5611349453978158
25,0.1628385884898186,0.04344457600608107,0.7937168355041003,0.10737759286058852,0.05332448946776009,0.8392979176716513,0.20797650417215635,0.09543807641633728,0.6965854194115064,0.13677536231884058,0.13201992753623187,0.7312047101449275,0.15028197608842772,0.05774118354763516,0.7919768403639371,0.13442928039702234,0.07758478081058726,0.7879859387923904,0.2256180650184933,0.05429238855363052,0.7200895464278763,0.2459850107066381,0.07751605995717345,0.6764989293361884,0.4333826638477801,0.039915433403805496,0.5267019027484143,0.34059593023255813,0.03571220930232558,0.6236918604651163,0.3535786886020895,0.0420862289037016,0.6043350824942089,0.4048036921476859,0.04774440977639106,0.5474518980759231
26,0.2086330015056498,0.04111301144586239,0.7502539870484878,0.11683449911561344,0.05047535777456183,0.8326901431098248,0.25153711023276243,0.08509003074220466,0.663372859025033,0.15715579710144928,0.1221316425120773,0.7207125603864735,0.17819384916159112,0.0541544477028348,0.7676517031355741,0.14516129032258066,0.07429693961952026,0.7805417700578992,0.24362468366751022,0.050729998053338526,0.7056453182791512,0.2521948608137045,0.07457173447537473,0.6732334047109207,0.5120401691331924,0.04423890063424947,0.4437209302325581,0.3865988372093023,0.03989825581395349,0.5735029069767442,0.36558644163948373,0.041542570793740845,0.5928709875667755,0.41786921476859074,0.047321892875715026,0.5348088923556943
27,0.26014669122483886,0.039106696487304304,0.7007466122878567,0.12993949991960121,0.04715388326097443,0.8229066168194243,0.3008893280632411,0.07707509881422925,0.6220355731225297,0.1832729468599034,0.11209239130434782,0.7046346618357489,0.20945935784645464,0.050891044439431536,0.7396495977141139,0.15727874276261372,0.07003722084367246,0.7726840363937137,0.26558302511193305,0.04599961066770489,0.6884173642203621,0.2623126338329764,0.07034261241970022,0.6673447537473234,0.5748572938689217,0.05090909090909091,0.3742336152219874,0.4213372093023256,0.04630813953488372,0.5323546511627908,0.3753486503096487,0.04300808395972203,0.5816432657306293,0.4286596463858554,0.04819942797711908,0.5231409256370255
28,0.31489277726614917,0.03855486851145317,0.6465523542223977,0.14743628396848368,0.04412385431741438,0.808439861714102,0.35221783047870003,0.06862099253403602,0.579161176987264,0.21354166666666666,0.10152475845410629,0.6849335748792271,0.24510865478607416,0.04831190315061283,0.706579442063313,0.17537220843672457,0.06581885856079404,0.7588089330024814,0.2893712283433911,0.04150282265913958,0.6691259489974692,0.2774625267665953,0.06445396145610278,0.6580835117773018,0.6190169133192389,0.05742600422832981,0.3235570824524313,0.44931686046511626,0.05559593023255814,0.4950872093023256,0.3853708693802298,0.045040892544792696,0.5695882380749775,0.43977509100364015,0.051774570982839316,0.5084503380135206
29,0.3641352015085734,0.03953792629624757,0.5963268721951791,0.1659531275124618,0.04129984724232192,0.7927470252452162,0.3955588493631972,0.06203337725076856,0.5424077733860343,0.2482638888888889,0.09178743961352658,0.6599486714975846,0.280690277464471,0.046943379201443716,0.6723663433340852,0.19478908188585609,0.06155913978494624,0.7436517783291977,0.3157290247226007,0.037278567257153984,0.6469924080202454,0.29298715203426123,0.05835117773019272,0.6486616702355461,0.6499048625792812,0.06347251585623678,0.28662262156448204,0.4681104651162791,0.06520348837209303,0.4666860465116279,0.3969058762350494,0.048456483713894015,0.5546376400510566,0.4503705148205928,0.057624804992199685,0.4920046801872075
